Regione,Anno,Numero_Transazioni,Prezzo_Medio,Variazione_%_Prezzo
ABRUZZO,2011,12794.64,887.5567924,
BASILICATA,2011,3794.09,712.6140873,
CALABRIA,2011,14234.84,669.9429899,
CAMPANIA,2011,33362.92,1196.913958,
EMILIA-ROMAGNA,2011,48554.64,1584.395949,
LAZIO,2011,64961.43,1707.886412,
LIGURIA,2011,20541.82,2372.061187,
LOMBARDIA,2011,116746.43,1354.841668,
MARCHE,2011,14169.89,1289.933681,
MOLISE,2011,2918.71,716.3930582,
PIEMONTE,2011,52176.1,1102.931734,
PUGLIA,2011,33607.68,985.5014124,
SARDEGNA,2011,14035.51,900.7979288,
SICILIA,2011,40422.63,909.1871964,
TOSCANA,2011,37131.45,1911.170141,
UMBRIA,2011,8431.7,1038.006166,
VALLE D'AOSTA,2011,1870.99,2508.691275,
VENETO,2011,47768.08,1224.028571,
ABRUZZO,2012,9437.54,890.8340899,0.36924933
BASILICATA,2012,3173.01,701.1631944,-1.606885559
CALABRIA,2012,11350.02,666.0132855,-0.586572946
CAMPANIA,2012,28027.26,1170.800641,-2.181720457
EMILIA-ROMAGNA,2012,33854.24,1582.711877,-0.106291085
LAZIO,2012,47821.12,1700.34284,-0.441690484
LIGURIA,2012,15110.78,2346.633557,-1.071963461
LOMBARDIA,2012,87276.55,1330.240862,-1.815769805
MARCHE,2012,9932.35,1269.976581,-1.547141549
MOLISE,2012,2120.13,721.7005545,0.740863735
PIEMONTE,2012,38685.89,1070.492799,-2.94115526
PUGLIA,2012,24983.92,969.2363382,-1.650436424
SARDEGNA,2012,10786.89,905.1194268,0.479741102
SICILIA,2012,29613.61,904.1548443,-0.553500107
TOSCANA,2012,27572.38,1885.630182,-1.336351916
UMBRIA,2012,6146.03,1033.636364,-0.420980433
VALLE D'AOSTA,2012,1448.96,2539.666667,1.234723133
VENETO,2012,34569.89,1231.28581,0.592897801
ABRUZZO,2013,8338.96,882.4261699,-0.943825573
BASILICATA,2013,2879.01,695.0595238,-0.870506422
CALABRIA,2013,10058.59,658.7689713,-1.087713167
CAMPANIA,2013,24737.43,1116.721304,-4.619004772
EMILIA-ROMAGNA,2013,31536.74,1541.423569,-2.608706539
LAZIO,2013,43360.37,1658.257668,-2.4750992
LIGURIA,2013,14127.56,2279.880012,-2.844651441
LOMBARDIA,2013,79676.74,1302.991408,-2.04846015
MARCHE,2013,8554.9,1258.166433,-0.929950027
MOLISE,2013,1834.44,724.6309963,0.406046769
PIEMONTE,2013,35254.95,1051.759287,-1.749989565
PUGLIA,2013,23735.19,936.4150069,-3.386308367
SARDEGNA,2013,9343.22,898.8313767,-0.694720479
SICILIA,2013,26928.12,883.9977555,-2.22938459
TOSCANA,2013,24768.05,1830.897054,-2.902643847
UMBRIA,2013,5462.37,995.1582278,-3.722598889
VALLE D'AOSTA,2013,1330.37,2415.717256,-4.880538559
VENETO,2013,31865.62,1270.937257,3.220328433
ABRUZZO,2014,8031.44,869.6605293,-1.446652537
BASILICATA,2014,2789.13,725.6355932,4.399057687
CALABRIA,2014,9312.95,684.7488348,3.943698717
CAMPANIA,2014,25191.85,1103.825173,-1.154820856
EMILIA-ROMAGNA,2014,33835.08,1433.114512,-7.02656031
LAZIO,2014,47125.51,1562.994116,-5.74479793
LIGURIA,2014,15233.85,2234.341436,-1.997411095
LOMBARDIA,2014,82654.82,1305.558435,0.197010247
MARCHE,2014,8701.32,1246.75412,-0.907059134
MOLISE,2014,2027.7,726.0612245,0.19737331
PIEMONTE,2014,36423.55,1048.602816,-0.300113432
PUGLIA,2014,24854.6,1018.881538,8.80662216
SARDEGNA,2014,9087.15,1087.813422,21.02530575
SICILIA,2014,27507.7,928.2604481,5.007104631
TOSCANA,2014,26524.48,1808.127794,-1.243612227
UMBRIA,2014,5606.91,1043.914801,4.899378991
VALLE D'AOSTA,2014,1308.43,2338.981233,-3.17653162
VENETO,2014,33770.59,1319.444829,3.816677179
ABRUZZO,2015,8707.41,844.546893,-2.887751659
BASILICATA,2015,3161.53,727.3138034,0.231274509
CALABRIA,2015,9509.62,682.1105072,-0.385298583
CAMPANIA,2015,27052.42,1071.79011,-2.90218636
EMILIA-ROMAGNA,2015,36450.9,1382.055849,-3.562776197
LAZIO,2015,48270.03,1506.412591,-3.620072782
LIGURIA,2015,15844.04,2226.294843,-0.36013264
LOMBARDIA,2015,90664.93,1303.927781,-0.124900839
MARCHE,2015,9372.81,1195.978706,-4.072608456
MOLISE,2015,1960.23,718.4576613,-1.04723444
PIEMONTE,2015,38601.08,1019.111206,-2.812467193
PUGLIA,2015,25854.15,1010.527623,-0.819910417
SARDEGNA,2015,9928.13,1054.077086,-3.101297968
SICILIA,2015,29026.3,904.5171175,-2.557830686
TOSCANA,2015,29707.93,1732.775057,-4.167445357
UMBRIA,2015,5971.94,1018.781095,-2.407639631
VALLE D'AOSTA,2015,1315.31,2295.102564,-1.875973544
VENETO,2015,38062.81,1299.111035,-1.541087077
ABRUZZO,2016,9945.77,820.3754315,-2.862062681
BASILICATA,2016,3497.95,725.2132937,-0.288803776
CALABRIA,2016,10491.13,674.9081738,-1.055889529
CAMPANIA,2016,31036.1,1053.032356,-1.750133156
EMILIA-ROMAGNA,2016,44642.68,1359.275078,-1.648324925
LAZIO,2016,54542.28,1466.745316,-2.633227811
LIGURIA,2016,19505.38,2206.679709,-0.881066305
LOMBARDIA,2016,109782.9,1307.953767,0.308758331
MARCHE,2016,11161.94,1008.734631,-15.65613785
MOLISE,2016,2093.58,716.4012097,-0.286231427
PIEMONTE,2016,47066.77,1000.124953,-1.863020751
PUGLIA,2016,30331.01,1007.56953,-0.292727506
SARDEGNA,2016,11740.8,1046.911972,-0.679752415
SICILIA,2016,32767.97,882.730152,-2.408684706
TOSCANA,2016,35498.84,1675.71267,-3.293121437
UMBRIA,2016,6827.37,972.9975124,-4.493956782
VALLE D'AOSTA,2016,1641.43,2262.633588,-1.414706986
VENETO,2016,47043.91,1273.587424,-1.964698249
ABRUZZO,2017,9992.09,794.7741657,-3.120676807
BASILICATA,2017,3569.55,725.5853175,0.051298537
CALABRIA,2017,11210.54,672.4520974,-0.363912686
CAMPANIA,2017,33621.22,1051.620068,-0.13411629
EMILIA-ROMAGNA,2017,46549.82,1347.808101,-0.843609745
LAZIO,2017,56363.62,1430.533473,-2.468856901
LIGURIA,2017,20422.9,2178.805804,-1.263160469
LOMBARDIA,2017,115870.54,1308.322494,0.028191145
MARCHE,2017,11168.71,986.6752365,-2.186838237
MOLISE,2017,2110.36,714.9395161,-0.204032814
PIEMONTE,2017,49652.51,991.6048035,-0.851908469
PUGLIA,2017,32205.89,995.8825357,-1.15991941
SARDEGNA,2017,12479.33,1046.826179,-0.008194871
SICILIA,2017,34310.18,859.9110134,-2.585063915
TOSCANA,2017,37718.35,1627.395318,-2.88339121
UMBRIA,2017,6770.56,938.378882,-3.557936172
VALLE D'AOSTA,2017,1670.92,2263.914141,0.056595714
VENETO,2017,49539.43,1259.148864,-1.133692041
ABRUZZO,2018,10562.98,787.2065593,-0.952170663
BASILICATA,2018,3361.14,724.59285,-0.136781628
CALABRIA,2018,11505.21,664.8446401,-1.131300996
CAMPANIA,2018,35110.97,1051.226894,-0.037387461
EMILIA-ROMAGNA,2018,51979.62,1345.51391,-0.170216442
LAZIO,2018,59052.15,1405.669113,-1.738118035
LIGURIA,2018,20901.54,2145.379464,-1.534158723
LOMBARDIA,2018,123411.6,1316.03246,0.589301661
MARCHE,2018,12198.82,1012.08195,2.574982399
MOLISE,2018,2224.17,712.4545455,-0.347577749
PIEMONTE,2018,52231.19,985.6483767,-0.600685554
PUGLIA,2018,33655.16,990.5822981,-0.532215137
SARDEGNA,2018,13525.79,1050.260197,0.328040913
SICILIA,2018,36929.46,843.7552127,-1.878775882
TOSCANA,2018,40741.39,1588.970701,-2.361111437
UMBRIA,2018,7215.83,926.9199752,-1.221138606
VALLE D'AOSTA,2018,1687.51,2280.997475,0.75459281
VENETO,2018,54498.37,1249.599911,-0.758365717
ABRUZZO,2019,11294.22,776.6451149,-1.341635711
BASILICATA,2019,3672.98,724.4940476,-0.013635579
CALABRIA,2019,11936.68,662.0509834,-0.420196912
CAMPANIA,2019,35695.46,1049.995491,-0.117139523
EMILIA-ROMAGNA,2019,54577.22,1340.205882,-0.394498189
LAZIO,2019,60937.94,1381.741242,-1.702240629
LIGURIA,2019,21763.47,2124.498048,-0.973320416
LOMBARDIA,2019,130738.76,1323.843556,0.593533673
MARCHE,2019,13059.96,1018.358534,0.620165526
MOLISE,2019,2327.79,700.8571429,-1.627809475
PIEMONTE,2019,53937.87,975.5989985,-1.019570312
PUGLIA,2019,34815.63,983.5325077,-0.711681443
SARDEGNA,2019,13876.55,1049.676966,-0.055532012
SICILIA,2019,37829.32,833.3572319,-1.232345661
TOSCANA,2019,41370,1559.149884,-1.876738007
UMBRIA,2019,7732.83,906.3641975,-2.217643184
VALLE D'AOSTA,2019,1966.88,2247.732997,-1.458330298
VENETO,2019,57491.82,1246.343764,-0.26057518
ABRUZZO,2020,10797.44,758.3663793,-2.353550583
BASILICATA,2020,3183.28,685.2234359,-5.420418815
CALABRIA,2020,10843.52,646.3499481,-2.371574962
CAMPANIA,2020,31772.98,1021.195334,-2.742883949
EMILIA-ROMAGNA,2020,51462.79,1335.424191,-0.356787855
LAZIO,2020,55955.95,1363.383769,-1.3285753
LIGURIA,2020,19788.18,2115.426184,-0.427012118
LOMBARDIA,2020,120611.86,1323.993294,0.011310847
MARCHE,2020,12811.76,1011.169288,-0.705964082
MOLISE,2020,2193.88,690.755102,-1.441383728
PIEMONTE,2020,50761.04,964.5900771,-1.128426885
PUGLIA,2020,32187.48,974.4343403,-0.925049996
SARDEGNA,2020,12736.97,1046.035815,-0.34688307
SICILIA,2020,34331.49,815.1197358,-2.188436779
TOSCANA,2020,37935.95,1534.015855,-1.612034191
UMBRIA,2020,7369.43,882.2098765,-2.664968569
VALLE D'AOSTA,2020,1812.84,2245.905707,-0.081294811
VENETO,2020,53521.22,1243.206606,-0.251708869
ABRUZZO,2021,15059.88,748.6738506,-1.278079962
BASILICATA,2021,4071.25,660.695825,-3.579505547
CALABRIA,2021,14988.43,646.7937631,0.068664819
CAMPANIA,2021,42363.79,1014.912083,-0.61528392
EMILIA-ROMAGNA,2021,69888.11,1326.388283,-0.676632013
LAZIO,2021,75715.78,1332.587269,-2.258828411
LIGURIA,2021,27403.53,2099.632517,-0.746595048
LOMBARDIA,2021,159155.38,1324.5502,0.04206258
MARCHE,2021,17478.6,1050.299835,3.869831388
MOLISE,2021,3097.78,690.8985201,0.020762502
PIEMONTE,2021,67636.02,947.9956606,-1.720359447
PUGLIA,2021,44185.95,964.0671411,-1.063919733
SARDEGNA,2021,16989.59,1043.863158,-0.207703855
SICILIA,2021,46719.26,794.4845361,-2.531554417
TOSCANA,2021,51361.68,1518.563974,-1.007282998
UMBRIA,2021,9941.63,791.367284,-10.29716341
VALLE D'AOSTA,2021,2349.42,2263.267813,0.773055877
VENETO,2021,69604.17,1222.851799,-1.637282696
ABRUZZO,2022,16422.02,748.5402299,-0.01784765
BASILICATA,2022,4585.88,663.1405164,0.370017676
CALABRIA,2022,16467.67,648.473822,0.259751869
CAMPANIA,2022,44446.55,1007.158575,-0.763958551
EMILIA-ROMAGNA,2022,71228.83,1332.054593,0.427198459
LAZIO,2022,77627.74,1323.897987,-0.652061007
LIGURIA,2022,28971.7,2099.4936,-0.006616218
LOMBARDIA,2022,165305.37,1346.255551,1.638695967
MARCHE,2022,18503.25,1082.606891,3.075984132
MOLISE,2022,3431.43,685.0869565,-0.841160227
PIEMONTE,2022,69946.92,946.6987859,-0.136801751
PUGLIA,2022,47745.7,976.8008605,1.320833254
SARDEGNA,2022,18481.35,1048.770891,0.470151038
SICILIA,2022,51148.5,791.499794,-0.375682844
TOSCANA,2022,54912.64,1510.241873,-0.54802437
UMBRIA,2022,11383.11,754.7811671,-4.623152559
VALLE D'AOSTA,2022,2570.38,2292.014563,1.270143536
VENETO,2022,70626.12,1224.953299,0.171852342
ABRUZZO,2023,15104.42,753.7212644,0.692151774
BASILICATA,2023,4164.96,664.473161,0.200959618
CALABRIA,2023,16415.63,649.2774869,0.123931745
CAMPANIA,2023,41967.26,1013.127269,0.592626964
EMILIA-ROMAGNA,2023,62768.42,1340.702065,0.649183009
LAZIO,2023,68021.03,1315.667178,-0.621710223
LIGURIA,2023,26224.81,2098.971079,-0.024887976
LOMBARDIA,2023,150722.67,1371.530986,1.877461942
MARCHE,2023,16025.37,1091.545587,0.825664076
MOLISE,2023,3115.17,673.8318777,-1.642868644
PIEMONTE,2023,63755.72,957.8546679,1.178398264
PUGLIA,2023,42441.04,983.9050983,0.727296431
SARDEGNA,2023,17693.32,1065.413223,1.586841503
SICILIA,2023,49812.89,793.3082784,0.228488301
TOSCANA,2023,47328.36,1512.580302,0.154838032
UMBRIA,2023,9989.85,715.4155125,-5.21550568
VALLE D'AOSTA,2023,2216.17,2340.274463,2.105566896
VENETO,2023,63124.35,1234.830408,0.806325378
ABRUZZO,2024,16495.54,762.0132108,1.100134336
BASILICATA,2024,4043.34,674.3861829,1.491861892
CALABRIA,2024,16409.06,639.6192142,-1.487541598
CAMPANIA,2024,42351,1025.906018,1.261317247
EMILIA-ROMAGNA,2024,63588.3,1366.27815,1.907663532
LAZIO,2024,69808.86,1303.607906,-0.916589831
LIGURIA,2024,26129.42,2120.185185,1.010690734
LOMBARDIA,2024,151465.17,1403.852327,2.356588447
MARCHE,2024,16722.01,1114.218227,2.07711347
MOLISE,2024,3301.04,668.830735,-0.742194445
PIEMONTE,2024,64407.43,972.8790354,1.568543529
PUGLIA,2024,43827.82,1000.634124,1.700268231
SARDEGNA,2024,17694.54,1088.447099,2.161966393
SICILIA,2024,49978.07,789.3469304,-0.499345357
TOSCANA,2024,47086.48,1521.128184,0.565119255
UMBRIA,2024,10024.08,717.1862069,0.247505736
VALLE D'AOSTA,2024,2216.36,2342.644231,0.10126025
VENETO,2024,63788.28,1242.316718,0.606262215
ITALIA,2011,575797.1,1315.660922,
ITALIA,2012,427566.36,1298.655917,-1.292506643
ITALIA,2013,389447.9,1275.692354,-1.768256125
ITALIA,2014,405721.52,1298.835653,1.814175553
ITALIA,2015,435931.25,1275.848671,-1.769814476
ITALIA,2016,517184.41,1252.032176,-1.866717911
ITALIA,2017,543187.68,1240.375164,-0.931047324
ITALIA,2018,579207.17,1236.239653,-0.33340808
ITALIA,2019,604167.77,1231.146491,-0.411988227
ITALIA,2020,558721.59,1220.489874,-0.865584802
ITALIA,2021,749377.4,1212.5925,-0.647065901
ITALIA,2022,785382.19,1220.466727,0.649371238
ITALIA,2023,710518.37,1233.256259,1.047921368
ITALIA,2024,719578.05,1246.266646,1.054962241
